Benchmark,basic,basic,basic,basic,basic,basic,basic,basic,greedy,greedy,greedy,greedy,greedy,greedy,greedy,greedy
Benchmark,spills,spills,spills,spills,reloads,reloads,reloads,reloads,spills,spills,spills,spills,reloads,reloads,reloads,reloads
Benchmark,original,h1,h2,h3,original,h1,h2,h3,original,h1,h2,h3,original,h1,h2,h3
510.parest_r,55025,52288,54419,54933,125825,116265,120251,120452,45231,45575,47246,46275,78780,76428,77201,77292
526.blender_r,38528,36498,37462,37916,105701,93867,96400,97284,31796,31583,31957,31908,54487,54161,57133,57282
507.cactuBSSN_r,34804,33264,32093,32303,68364,74885,74896,75070,33140,30839,30821,30864,44516,41745,47569,47332
607.cactuBSSN_s,36359,31341,30544,30777,64727,68045,70542,70697,31435,29290,29254,29323,41248,38460,44228,44112
502.gcc_r,24378,21934,22664,23469,82207,66096,65815,66881,17146,16924,17558,17236,37811,38876,41621,41486
602.gcc_s,24378,21934,22664,23469,82207,66096,65815,66881,17146,16924,17558,17236,37811,38876,41621,41486
508.namd_r,13287,13346,13456,12746,41046,36784,39415,39569,11348,10498,10085,9858,26233,23775,23757,23623
654.roms_s,15373,12474,12669,12690,33119,28978,29902,29837,10031,10036,10001,9981,19560,19677,19478,19400
554.roms_r,15153,12220,12433,12455,32845,28524,29495,29433,9868,9890,9845,9830,19104,19434,19261,19200
549.fotonik3d_r,11729,9533,9810,9837,19326,17444,17162,17311,7949,7768,7826,7718,18889,18289,18167,19558
538.imagick_r,9094,8606,8588,8702,29733,25075,28001,26747,6911,7163,7327,7455,17032,17925,19547,19511
638.imagick_s,8634,8223,8315,8392,26851,22395,25162,23952,6595,6917,7052,7159,15299,16059,17797,17637
600.perlbench_s,9742,8118,8408,9089,26054,22754,23588,24045,5739,5512,5884,5700,13436,13750,15407,14585
500.perlbench_r,9742,8118,8408,9089,26054,22754,23588,24045,5739,5512,5884,5700,13436,13750,15407,14585
649.fotonik3d_s,10641,8997,9178,9177,23978,23215,23117,23099,7689,7667,7653,7640,13092,12915,12897,13249
523.xalancbmk_r,7491,7305,7742,7930,25510,23853,23860,24606,5874,5600,5746,5693,11037,11221,12063,11972
623.xalancbmk_s,7491,7305,7742,7930,25425,23853,23860,24606,5874,5600,5746,5693,11037,11221,12063,11972
625.x264_s,7636,6981,7312,7411,25475,22358,22839,23070,5790,5799,5851,5872,10197,10440,11011,11237
525.x264_r,7636,6981,7312,7411,25475,22358,22839,23070,5790,5799,5851,5872,10197,10440,11011,11237
511.povray_r,5660,5517,5646,5683,10627,9317,9605,9742,4772,4810,4803,4790,6631,6607,6739,6660
548.exchange2_r,2750,2484,2351,2316,8053,7711,7875,7889,1814,1785,1781,1770,4954,4677,4636,4590
648.exchange2_s,2750,2484,2351,2316,8053,7711,7875,7889,1814,1785,1781,1770,4954,4677,4636,4590
620.omnetpp_s,2724,2414,2464,2575,7077,6618,6629,6864,1945,1951,2130,2087,3579,3826,3901,3859
520.omnetpp_r,2724,2414,2464,2575,7077,6618,6629,6864,1945,1951,2130,2087,3579,3826,3901,3859
503.bwaves_r,1569,1357,1348,1350,2509,2440,2500,2481,951,951,957,963,1859,1716,1710,1705
603.bwaves_s,1298,1239,1199,1211,2159,2077,2068,2109,1031,1024,1030,1023,1451,1499,1416,1427
644.nab_s,1076,1100,1086,1107,2335,2187,2215,2255,898,913,923,914,1266,1263,1369,1355
544.nab_r,1013,1043,1027,1047,2402,2248,2290,2332,857,877,879,869,1219,1212,1363,1351
657.xz_s,1109,704,773,786,2641,1827,1957,2004,632,563,732,693,1112,1106,1311,1132
557.xz_r,1100,697,766,779,2623,1817,1947,1994,626,557,726,687,1105,1099,1304,1125
641.leela_s,678,633,668,672,1460,1308,1443,1448,571,486,498,580,682,639,752,747
541.leela_r,678,633,668,672,1460,1308,1443,1448,571,486,498,580,682,639,752,747
531.deepsjeng_r,436,481,419,411,1420,1100,1084,1066,347,355,324,332,649,707,712,714
631.deepsjeng_s,436,481,419,411,1420,1100,1084,1066,347,355,324,332,649,707,712,714
605.mcf_s,264,240,245,234,1002,797,728,762,188,194,193,192,467,509,458,432
505.mcf_r,264,240,245,234,1002,797,728,762,188,194,193,192,467,509,458,432
519.lbm_r,107,109,113,114,77,72,71,71,101,107,107,106,78,84,85,80
619.lbm_s,106,109,111,111,75,73,68,68,102,107,108,109,79,82,84,80
998.specrand_is,1,1,1,1,8,8,8,8,1,1,1,1,3,3,3,3
996.specrand_fs,1,1,1,1,8,8,8,8,1,1,1,1,3,3,3,3
997.specrand_fr,1,1,1,1,8,8,8,8,1,1,1,1,3,3,3,3
999.specrand_ir,1,1,1,1,8,8,8,8,1,1,1,1,3,3,3,3
